case_id,label,fraud_type,modalities,p1_risk,p1_pred,p1_correct,p2_text_risk,p2_image_risk,p2_audio_risk,p2_risk,p2_pred,p2_correct
TXT_BLACK_001,1,综合型电信网络诈骗,text+image,high,1,1,high,high,,high,1,1
TXT_BLACK_002,1,邮寄黄金投资诈骗,text+image,high,1,1,low,high,,high,1,1
TXT_BLACK_003,1,校园综合诈骗,text+image,high,1,1,low,high,,high,1,1
TXT_BLACK_004,1,婚恋交友诈骗,text+image,medium,1,1,medium,low,,medium,1,1
TXT_BLACK_005,1,综合型电信网络诈骗,text+image+audio,high,1,1,low,high,low,high,1,1
TXT_BLACK_006,1,综合型电信网络诈骗,text+image,high,1,1,low,high,,high,1,1
TXT_BLACK_007,1,综合型电信网络诈骗,text+image,high,1,1,low,low,,low,0,0
TXT_BLACK_008,1,综合型电信网络诈骗,text+image,medium,1,1,low,low,,low,0,0
TXT_BLACK_009,1,交友引流刷单诈骗,text+image,high,1,1,high,low,,high,1,1
TXT_BLACK_010,1,刷单返利诈骗,text+image,high,1,1,high,high,,high,1,1
TXT_BLACK_011,1,综合型电信网络诈骗,text+image,high,1,1,high,low,,high,1,1
TXT_BLACK_012,1,节日红包诈骗,text+image,high,1,1,low,high,,high,1,1
TXT_BLACK_013,1,兼职招聘诈骗,text+image,high,1,1,high,low,,high,1,1
TXT_BLACK_014,1,综合型电信网络诈骗,text+image,medium,1,1,low,low,,low,0,0
TXT_BLACK_015,1,投资理财诈骗,text+image,high,1,1,medium,low,,medium,1,1
TXT_BLACK_016,1,AI冒充亲属诈骗,text+image,high,1,1,medium,high,,high,1,1
TXT_BLACK_017,1,假中奖诈骗,text+image,high,1,1,medium,low,,medium,1,1
TXT_BLACK_018,1,邮寄黄金投资诈骗,text+image,high,1,1,medium,low,,medium,1,1
TXT_BLACK_019,1,冒充班主任收费诈骗,text+image,high,1,1,high,low,,high,1,1
TXT_BLACK_020,1,综合型电信网络诈骗,text+image,high,1,1,medium,high,,high,1,1
TXT_WHITE_001,0,benign,text+image,high,1,0,low,low,,low,0,1
TXT_WHITE_002,0,benign,text+image,high,1,0,low,high,,high,1,0
TXT_WHITE_003,0,benign,text+image+audio,high,1,0,low,high,low,high,1,0
TXT_WHITE_004,0,benign,text,medium,1,0,low,,,low,0,1
TXT_WHITE_005,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_006,0,benign,text+image,high,1,0,low,low,,low,0,1
TXT_WHITE_007,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_008,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_009,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_010,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_011,0,benign,text+image,high,1,0,low,low,,low,0,1
TXT_WHITE_012,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_013,0,benign,text,medium,1,0,low,,,low,0,1
TXT_WHITE_014,0,benign,text,medium,1,0,low,,,low,0,1
TXT_WHITE_015,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_016,0,benign,text+image+audio,high,1,0,low,high,low,high,1,0
TXT_WHITE_017,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_018,0,benign,text,low,0,1,low,,,low,0,1
TXT_WHITE_019,0,benign,text+image,high,1,0,low,low,,low,0,1
TXT_WHITE_020,0,benign,text+image+audio,medium,1,0,low,medium,low,medium,1,0
